name,age,gender,city,course,study_hours,attendance,score,scholarship,high_score
Азамат,24.0,М,Алматы,2,5.0,82.8,64.0,0.0,False
Наталья,23.0,Ж,Астана,1,4.2,61.8,69.1,0.0,False
Инкар,20.0,Ж,Алматы,1,4.1,84.1,66.4,0.0,False
Виктория,18.0,Ж,Алматы,1,2.8,67.1,45.5,0.0,False
Куаныш,22.0,М,Уральск,3,6.7,96.5,76.4,0.0,False
Женис,19.0,М,Астана,2,6.9,86.4,89.1,23572.0,True
Талгат,24.0,М,Уральск,1,5.8,80.38000000000001,76.7,0.0,False
Салтанат,24.0,Ж,Шымкент,4,1.2,54.5,44.2,0.0,False
Гаухар,23.0,Ж,Астана,1,9.5,91.9,82.2,27342.0,True
Гаухар,24.0,Ж,Актобе,1,5.3,84.6,81.0,26163.0,True
Дархан,20.0,М,Астана,3,6.1,73.9,85.2,25216.0,True
Наталья,18.0,Ж,Шымкент,3,2.0,52.1,58.2,0.0,False
Айгуль,24.0,Ж,Шымкент,2,5.0,80.38000000000001,64.6,0.0,False
Александр,24.0,М,Уральск,4,5.8,89.9,78.8,0.0,False
Артур,21.0,М,Астана,3,4.7,93.1,74.7,0.0,False
Нурлан,19.0,М,Алматы,1,6.7,81.4,69.7,0.0,False
Иван,21.0,М,Атырау,2,7.6,78.0,83.6,21545.0,True
Салтанат,22.0,Ж,Астана,1,2.3,66.5,59.6,0.0,False
Марат,20.0,М,Уральск,1,6.7,88.3,85.2,29669.0,True
Тимур,24.0,М,Алматы,3,5.8,87.8,69.3,0.0,False
Айнур,24.0,Ж,Шымкент,2,5.0,97.1,69.1,0.0,False
Иван,18.0,М,Астана,4,1.9,69.4,56.6,0.0,False
Дмитрий,21.0,М,Уральск,4,8.0,100.0,93.8,28870.0,True
Ержан,22.0,М,Актобе,3,5.8,79.5,60.4,0.0,False
Женис,21.0,М,Астана,3,1.4,66.3,33.8,0.0,False
Диана,23.0,Ж,Астана,2,4.5,73.3,65.4,0.0,False
Санжар,22.0,М,Шымкент,4,5.7,77.4,69.3,0.0,False
Жулдыз,24.0,Ж,Алматы,4,6.0,81.9,73.7,0.0,False
Карина,24.0,Ж,Шымкент,4,4.7,76.6,65.2,0.0,False
Олег,22.0,М,Уральск,1,5.7,78.0,78.9,0.0,False
Анна,24.0,Ж,Алматы,4,9.2,92.4,94.7,29937.0,True
Иван,20.0,М,Алматы,1,8.1,100.0,92.1,25454.0,True
Игорь,22.0,М,Уральск,2,3.1,89.3,69.49180327868852,0.0,False
Айгерим,21.0,Ж,Уральск,1,3.8,71.2,41.6,0.0,False
Елена,22.0,Ж,Актобе,2,4.8,76.6,74.9,0.0,False
Жанна,24.0,Ж,Астана,4,4.8,70.2,69.49180327868852,0.0,False
Талгат,20.0,М,Уральск,4,2.3,94.7,58.1,0.0,False
Тимур,20.0,М,Актобе,2,1.8,67.9,52.5,0.0,False
Гаухар,23.0,Ж,Актобе,3,2.7,78.6,60.1,0.0,False
Марат,21.0,М,Алматы,2,7.8,100.0,99.1,20035.0,True
Тимур,19.0,М,Атырау,3,3.3,80.38000000000001,65.8,0.0,False
Ержан,19.0,М,Уральск,1,2.9,79.0,62.2,0.0,False
Дмитрий,22.0,М,Уральск,1,6.8,92.1,82.4,20824.0,True
Мария,21.0,Ж,Алматы,1,4.1,84.7,67.0,0.0,False
Иван,18.0,М,Шымкент,4,5.8,74.9,64.1,0.0,False
Ботагоз,22.0,Ж,Атырау,1,3.5,75.6,59.1,0.0,False
Аскар,23.0,М,Астана,3,1.4,69.4,54.7,0.0,False
Камила,21.0,Ж,Атырау,1,5.9,87.3,74.9,0.0,False
Татьяна,21.0,Ж,Атырау,2,1.9,76.7,53.9,0.0,False
Женис,21.0,М,Актобе,2,4.0,79.6,57.8,0.0,False
Айгерим,21.0,Ж,Шымкент,4,3.5,64.8,61.4,0.0,False
Анна,21.0,Ж,Алматы,2,5.4,86.3,64.8,0.0,False
Асем,23.0,Ж,Алматы,3,3.9,68.5,63.4,0.0,False
Карина,23.0,Ж,Астана,1,4.8,73.2,65.7,0.0,False
Полина,20.0,Ж,Актобе,4,1.9,64.3,69.49180327868852,0.0,False
Ксения,19.0,Ж,Актобе,1,4.8,95.1,100.0,29108.0,True
Олег,24.0,М,Уральск,1,2.6,58.1,51.5,0.0,False
Иван,21.0,М,Астана,3,7.4,98.5,97.8,23717.0,True
Олег,18.0,М,Астана,2,5.3,80.38000000000001,78.4,0.0,False
Руслан,21.0,М,Астана,2,5.3,93.8,69.7,0.0,False
